Nombre del problema,Tipo,Prioridad,URL,% del total,Descripción,Cómo solucionar,URL de ayuda
Seguridad: Falta encabezado Secure Referrer-Policy,Aviso,Baja,495,97.44,"URLs que carecen de políticas ""no-referrer-when-downgrade"", ""strict-origin-when-cross-origin"", ""no-referrer"" o ""strict-origin"" en el encabezado ""Referrer-Policy"". Al hacer uso de HTTPS, es importante que las no se filtren las URLs en las solicitudes que no sean HTTPS, ya que los usuarios podrían quedar expuestos a ataques de intermediarios al ser visibles por todos en la red.","Plantéate la posibilidad de establecer una política de referenciación ""strict-origin-when-cross-origin"" (origen estricto en situaciones de origen cruzado), la cual conserva gran parte de la utilidad del referenciador al tiempo que mitiga el riesgo de filtración de datos entre orígenes.",
Títulos de página: Menos de 200 píxeles,Oportunidad,Media,1,0.84,"Páginas con títulos mucho más cortos que el límite de píxeles estimado por Google. Esto no es necesariamente un problema, pero indica que podría haber espacio para señalar palabras clave adicionales o comunicar propuestas de venta únicas.",Plantéate la posibilidad de actualizar el título de la página para aprovechar el espacio que queda para incluir más palabras clave o propuestas de venta únicas.,
H2: Falta,Aviso,Baja,2,1.68,"Páginas en las que falta <h2>, el contenido está vacío o hay un espacio en blanco. Los encabezados de <h2> suelen utilizarse para describir secciones o temas dentro de un documento. Actúan como señales para el usuario y pueden ayudar a los motores de búsqueda a entender la página.",Plantéate la posibilidad de utilizar <h2> lógicas y descriptivas en las páginas importantes para ayudar a los usuarios y a los motores de búsqueda a comprender mejor la página.,
H1: Múltiple,Aviso,Media,1,0.84,"Páginas que tienen múltiples <h1>. Aunque esto no es estrictamente un problema porque los estándares HTML5 permiten múltiples <h1> en una página, este enfoque moderno sí que causa algunos inconvenientes en términos de usabilidad. Es aconsejable el uso del rango de encabezado (h1-h6) para transmitir la estructura del documento. El estándar clásico HTML4 define que solo debe haber un <h1> por página y esta es la recomendación general de cara a los usuarios y el SEO.</h1></h1></h1>",Plantéate la posibilidad de actualizar el HTML para incluir un solo <h1> en cada página y utilizar el rango de encabezado completo entre (h2 - h6) para los encabezados adicionales.</h1> ,
Meta description: Más de 155 caracteres,Oportunidad,Baja,36,30.25,Páginas que tienen meta descripciones que superan el límite configurado. Los caracteres que superen este límite podrían cortarse en los resultados de búsqueda de Google.,Escribe meta descripciones concisas para asegurarte de que las palabras importantes no se cortan en los resultados de búsqueda y evitar así que sean invisibles a ojos de los usuarios.,
Seguridad: Enlaces entre orígenes no seguros,Aviso,Baja,119,23.43,"URL que redirigen a sitios web externos mediante el atributo target=""_blank"" (para abrir una nueva pestaña) sin usar rel=""noopener"" (o rel=""noreferrer"") al mismo tiempo. Al usar únicamente target=""_blank"", esas páginas quedan expuestas a problemas de seguridad y rendimiento que afectan a algunos navegadores antiguos, cuya cuota de mercado estimada se sitúa por debajo del 5 %. La configuración de target=""_blank"" en elementos <a> arroja de forma implícita el mismo comportamiento rel que rel=""noopener"", que no configura window.opener en la mayor parte de los navegadores modernos, como Chrome, Safari, Firefox y Edge. Los enlaces externos que de por sí contienen el atributo target=""_blank"" se pueden ver en la pestaña de ""enlaces de salida"" y en la columna de ""destino"". Estos pueden exportarse junto con las páginas desde las que se enlazan a través de ""Exportación en masa > Seguridad > Enlaces entre orígenes no seguros"".","Considera las ventajas de incluir el atributo del enlace rel=""noopener"" en todos los enlaces que contengan el atributo target=""_blank"" para evitar que los usuarios de navegadores antiguos que visiten el sitio web tengan problemas de seguridad y rendimiento.",
H2: Más de 70 caracteres,Oportunidad,Baja,4,3.36,"Páginas que tienen <h2> que sobrepasan el límite configurado. No hay un límite de caracteres estricto en un <h2>, pero es vital que sean claros y concisos de cara a los usuarios y los encabezados largos pueden hacer un flaco favor a este respecto.","Escribe <h2> concisos para los usuarios, incluyendo palabras clave que funcionen para el público meta y evitando rellenos innecesarios.",
Títulos de página: Más de 561 píxeles,Oportunidad,Media,51,42.86,"Páginas cuyos títulos superan el límite de longitud en píxeles estimado por Google para los títulos en los resultados de búsqueda. La longitud del fragmento de Google depende en realidad de los límites de píxeles, no en la longitud de caracteres. SEO Spider trata de hacer coincidir los últimos puntos de truncamiento de píxeles en las SERP, pero es una aproximación y Google los ajusta con frecuencia.",Escribe títulos de página concisos para asegurarte de que las palabras importantes no se truncan en los resultados de búsqueda y evitar así que sean invisibles a ojos de los usuarios y que su clasificación se vea afectada.,
Títulos de página: Menos de 30 caracteres,Oportunidad,Media,11,9.24,"Páginas que tienen títulos de página por debajo del límite configurado. Esto no es necesariamente un problema, pero indica que podría haber espacio para añadir palabras clave adicionales o comunicar propuestas de venta únicas.",Plantéate la posibilidad de actualizar el título de la página para aprovechar el espacio que queda para incluir más palabras clave o propuestas de venta única.,
Códigos de respuesta: Error de cliente interno (4xx),Problema,Alta,5,0.66,"URLs internas con un error del lado del cliente. Esto indica que se ha producido un problema con la solicitud de la URL y se pueden dar respuestas como ""400 - Solicitud errónea"", ""403 - Acceso prohibido"", ""404 - Página no encontrada"", ""410 - Acceso eliminado"" o ""429 - Demasiadas solicitudes"" y más. ""404 - Página no encontrada"" es el más común y a menudo significa enlace roto. Consulta las UIRL enlazadas a errores mediante la pestaña ""enlaces de entrada"" y expórtalas en bloque a través de ""Exportación en bloque > Códigos de respuesta > Interno > Enlaces de entrada de error de cliente (4xx)"".","Lo ideal es que todos los enlaces de un sitio web resuelvan con URL 200 ""OK"". Los errores como el 404 o el 410 se han de actualizar para que lleven a sus ubicaciones correctas, eliminar o redirigir según el caso. Un ""403 - Error por acceso prohibido"" se produce cuando un servidor web deniega el acceso a la solicitud de SEO Spider. Es posible resolverlo por lo general cambiando el user-agent a Chrome a través de ""Configuración > User-Agent"" y llevando a cabo de nuevo el rastreo.",
